########Default mode########
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
########Default mode########
2015-12-08 11:56:38 6820 ACCELEROMETER 513257636992181  x:-1.856192 y:2.14084 z:10.450648
2015-12-08 11:56:38 6820 GRAVITY 15818009736738405  x:-1.4496161 y:2.3891633 z:9.40005
########Default mode########
2015-12-08 11:56:38 7430 GYROSCOPE 513257696450619  x:0.412698 y:0.323565 z:-0.380952
2015-12-08 11:56:38 7430 ACCELEROMETER 513257696450619  x:-2.6766481 y:2.604888 z:10.17796
2015-12-08 11:56:38 7430 GRAVITY 15818009736738405  x:-1.7394141 y:2.4220493 z:9.342298
########Default mode########
2015-12-08 11:56:38 8030 GYROSCOPE 513257756260983  x:1.290597 y:1.102563 z:-0.335775
2015-12-08 11:56:38 8030 ACCELEROMETER 513257756260983  x:-1.766492 y:3.6549761 z:9.19724
2015-12-08 11:56:38 8030 GRAVITY 15818009736738405  x:-2.2415907 y:2.8210874 z:9.120698
########Default mode########
2015-12-08 11:56:38 8630 GYROSCOPE 513257815870619  x:1.421244 y:1.763124 z:0.118437
2015-12-08 11:56:38 8630 ACCELEROMETER 513257815870619  x:-3.46242 y:5.4884443 z:6.916468
2015-12-08 11:56:38 8630 GRAVITY 15818009736738405  x:-3.11408 y:3.6787417 z:8.540478
########Default mode########
2015-12-08 11:56:38 9230 GYROSCOPE 513257875736660  x:0.396825 y:2.744808 z:-0.559218
2015-12-08 11:56:38 9230 ACCELEROMETER 513257875736660  x:-3.9767 y:6.42252 z:5.930964
2015-12-08 11:56:38 9230 GRAVITY 15818009736738405  x:-4.309712 y:4.3096833 z:7.682668
########Default mode########
2015-12-08 11:56:38 9840 GYROSCOPE 513257935434837  x:-0.031746 y:1.603173 z:1.163613
2015-12-08 11:56:38 9840 ACCELEROMETER 513257935434837  x:-6.627036 y:7.6364603 z:8.815716
2015-12-08 11:56:38 9840 GRAVITY 15818009736738405  x:-5.339008 y:4.525363 z:6.8692417
########Default mode########
